통로구분,대분류코드,대분류,중분류,소분류,row,column
0,1,음료,음료기획,음료세트,8,1
0,2,유제품,유음료,두유,8,2
0,3,양곡,미곡류,국산쌀,8,3
0,3,양곡,미곡류,찹쌀,8,4
0,3,양곡,미곡류,잡곡기타,8,5
0,3,양곡,잡곡류,잡곡기타,8,6
0,4,음료,음료박스,음료박스,7,7
0,4,음료,음료박스,음료박스,6,7
0,4,음료,음료박스,음료박스,5,7
0,4,음료,음료박스,음료박스,4,7
0,4,음료,음료박스,음료박스,3,7
0,4,음료,생수,생수묶음,2,7
0,4,음료,생수,생수묶음,1,7
1,5,조미료,유지류,콩식용유,0,8
1,5,조미료,유지류,올리브유,0,9
1,5,조미료,유지류,포도씨유,0,9
1,5,조미료,유지류,기타유,0,9
1,5,조미료,유지류,참기름,0,10
1,5,조미료,유지류,고추기름,0,11
1,5,조미료,유지류,향미유,0,11
1,5,조미료,장류,간장,0,12
1,5,조미료,장류,간장,0,13
1,5,조미료,장류,된장,0,14
1,5,조미료,장류,된장,0,15
1,5,조미료,장류,쌈장,0,16
1,5,조미료,장류,초고추장,0,17
1,5,조미료,장류,고추장,0,18
1,5,조미료,장류,고추장,0,19
1,5,조미료,액상조미료,식초,0,20
1,5,조미료,액상조미료,맛술,0,21
1,5,조미료,혼합조미료,액상다시다,3,10
1,5,조미료,양식재료,분말조미,3,10
1,5,조미료,양식재료,스톡/엑기스,3,10
1,5,조미료,한식재료,분말조미,3,10
1,5,조미료,혼합조미료,다시다,3,11
1,5,조미료,혼합조미료,다시다,3,12
1,5,조미료,혼합조미료,미원류,3,13
1,5,조미료,감미료,소금,3,14
1,5,조미료,감미료,설탕,3,15
1,5,조미료,감미료,설탕,3,16
1,5,조미료,감미료,올리고당류,3,17
1,5,조미료,감미료,물엿,3,18
1,5,조미료,액상조미료,액젓,3,19
1,6,제지류,티슈,업소용물티슈,0,22
1,6,제지류,티슈,물티슈,0,22
1,6,제지류,티슈,각티슈,0,23
1,6,제지류,티슈,냅킨,0,23
1,6,제지류,가정지,"키친타올,행주",0,23
1,6,제지류,가정지,두루마리화장지,0,24
1,6,제지류,가정지,두루마리화장지,0,25
1,6,제지류,가정지,점보롤,0,26
1,7,주방잡화,일회용품,종이컵,0,27
1,7,주방잡화,일회용품,"숯,그릴",3,22
1,7,주방잡화,조리용품,"주전자,포트",3,23
1,7,주방잡화,조리용품,"주전자,포트",3,24
1,7,주방잡화,조리용품,"솥,냄비",3,25
1,7,주방잡화,조리용품,"솥,냄비",3,26
1,7,주방잡화,조리용품,"솥,냄비",3,27
2,8,조리가공,분말가공,밀가루,4,10
2,8,조리가공,분말가공,밀가루,4,11
2,8,조리가공,분말가공,전분,4,12
2,8,조리가공,분말가공,제빵믹스,6,10
2,8,조리가공,분말가공,기타첨가물,6,10
2,8,조리가공,분말가공,부침가루,6,11
2,8,조리가공,분말가공,튀김가루,6,12
2,8,조리가공,대용식,즉석국,6,19
2,8,조리가공,대용식,즉석죽,6,19
2,8,조리가공,대용식,즉석밥,6,19
2,9,조미료,곡물가공,쌀가루,4,13
2,9,조미료,곡물가공,찹쌀가루,4,13
2,9,조미료,곡물가공,곡물가공기타,4,14
2,9,조미료,곡물가공,들깨가루,4,14
2,9,조미료,곡물가공,참깨,4,15
2,9,조미료,곡물가공,들깨,4,15
2,9,조미료,향신료,후추,4,16
2,9,조미료,향신료,기타,4,16
2,9,조미료,향신료,와사비,4,17
2,9,조미료,향신료,겨자,4,17
2,9,조미료,고추가공,고추가루,4,18
2,9,조미료,고추가공,고추씨,4,19
2,9,조미료,고추가공,건고추,4,19
2,10,수산건식,다시마,건다시마,6,13
2,10,수산건식,미역,건미역,6,14
2,10,수산건식,김,재래김,6,15
2,10,수산건식,해초,돌자반,6,16
2,10,수산건식,김,가루김,6,16
2,10,수산건식,해초,가공해초,6,16
2,10,수산건식,해초,건해초,6,16
2,10,수산건식,김,조미김,6,17
2,10,수산건식,김,조미김,6,18
3,11,주방잡화,조리용품,조리도구,4,22
3,11,주방잡화,조리용품,조리도구,4,23
3,11,주방잡화,조리용품,조리도구,4,24
3,11,주방잡화,조리용품,주방소품,4,25
3,11,주방잡화,조리용품,주방소품,4,26
3,11,주방잡화,조리용품,주방소품,4,27
3,11,주방잡화,조리용품,"후라이팬,불판",6,22
3,11,주방잡화,조리용품,"후라이팬,불판",6,23
3,11,주방잡화,조리용품,"후라이팬,불판",6,24
3,11,주방잡화,조리용품,"후라이팬,불판",6,25
3,11,주방잡화,조리용품,"후라이팬,불판",6,26
3,11,주방잡화,조리용품,"후라이팬,불판",6,27
4,12,조미료,일식재료,"분말,조미",7,10
4,12,조미료,일식재료,파우더류,7,10
4,12,조미료,일식재료,후리가께,7,10
4,12,조미료,일식재료,가쓰오부시,7,11
4,12,조미료,일식재료,육수/엑기스,7,12
4,12,조미료,한식재료,고기양념,7,13
4,12,조미료,한식재료,한분식양념,7,14
4,12,조미료,한식재료,육수/엑기스,7,15
4,12,조미료,드레싱,기타드레싱,7,16
4,12,조미료,드레싱,마요네즈,7,17
4,12,조미료,드레싱,케찹,7,18
4,12,조미료,드레싱,케찹,7,19
4,12,조미료,한식재료,한분식양념,9,10
4,12,조미료,양식재료,양식소스,9,10
4,12,조미료,양식재료,파스타소스,9,11
4,12,조미료,양식재료,양식소스,9,11
4,12,조미료,양식재료,"토마토홀,퓨레",9,12
4,13,면,파스타,스파게티,9,13
4,13,면,파스타,마카로니,9,13
4,14,조리가공,대용식,스프,9,14
4,13,면,베트남,쌀국수,9,15
4,13,면,베트남,월남쌈,9,15
4,12,조미료,동남아재료,월남쌈소스,9,16
4,12,조미료,동남아재료,소스기타,9,16
4,12,조미료,장류,춘장,9,17
4,12,조미료,중식재료,파우더류,9,17
4,12,조미료,선물세트,유지세트,9,17
4,12,조미료,중식재료,굴소스,9,17
4,12,조미료,중식재료,중화소스,9,17
4,12,조미료,중식재료,기타중식,9,17
4,12,조미료,중식재료,파우터류,9,17
4,12,조미료,일식재료,카레류,9,18
4,14,조리가공,대용식,3분류,9,19
5,15,주방잡화,용기류,용기소품,7,22
5,15,주방잡화,용기류,양념용기,7,23
5,15,주방잡화,용기류,컵,7,24
5,15,주방잡화,용기류,그릇,7,25
5,15,주방잡화,용기류,그릇,7,26
5,15,주방잡화,용기류,물병,7,27
5,15,주방잡화,용기류,물병,9,22
5,15,주방잡화,용기류,물병,9,23
5,15,주방잡화,용기류,밀폐용기,9,24
5,15,주방잡화,용기류,밀폐용기,9,25
5,15,주방잡화,용기류,밀폐용기,9,26
5,15,주방잡화,용기류,밀폐용기,9,27
6,16,면,라면,큰컵,10,10
6,16,면,라면,소컵,10,11
6,16,면,라면,용기박스,10,12
6,16,면,라면,일반박스,10,13
6,16,면,라면,일반류,10,14
6,16,면,라면,일반류,10,15
6,16,면,라면,비빔류,10,16
6,16,면,라면,비빔류,10,17
6,16,면,당면,당면,10,18
6,16,면,당면,당면,10,19
6,16,면,국수,기타국수,12,18
6,16,면,국수,"소면,중면",12,19
6,17,조리가공,농산통조림,채소류,12,10
6,17,조리가공,농산통조림,반찬류,12,11
