,상품명,단가,상품코드
0,무등산생쌀막걸리750m,990,8809050261117
1,던힐디톨프로스트,4500,88018249
2,브랜드 미전지,5848,207110
3,남)떠먹는불가리스85*8입,3980,8801069222103
4,한우 국거리,7986,207330
5,대상)안주야매운곱창볶음,5980,8801052052106
6,수앤수물티슈캡 어피치,2000,8801166053396
7,롯데)뽀모도로220g,2200,8801118879401
8,한성)크래미H,1000,8801074256605
9,종가집)볶음김치100g,1300,8801024151608
10,제당고메토마토미트볼,3480,8801007618579
11,신)카스후레쉬병BOX,17760,8801858044718
12,해태)고향만두1.2kg,6980,8801019503207
13,델몬트제주감귤,990,8801056079758
14,한우 양지국거리,8608,207375
15,콘)월드콘모카크림,600,8801062014774
16,1200거북알,500,8801118250590
17,바)별난바,330,8801118255229
18,고메)크리스피핫도그,5980,8801007539010
19,매)엣지저지방1%기획,3980,8801121020982
20,롯)빠다코코넛,1200,8801062521876
21,빙)쥬시쿨파인930,990,8801104250313
22,동서)초코후레이크300g,3800,8801037002485
23,녹색)구운햇달걀30구,5980,8809315596176
24,수입 삼겹 (베슬러),7672,207940
25,해찬들)사계절쌈장170g,990,8801007052816
26,삼립미니꿀호떡호이호,990,8801068036060
27,종가집)맛김치,2200,8801024190225
28,오)오뜨쇼콜라6p,1980,8801117549916
29,샤인커피스틱150*1000,4030,8808085603121
30,창희)떡국떡,5900,8802151005703
31,돼지 감자탕용,7000,207200
32,짠지)자른김치(중국산),9500,2100000577675
33,명성)무등산숙주나물3.5kg,4900,400000220796
34,"깻잎(소분,15묶음/특/팩/국산)",7900,2100000625666
35,드림팜)착한특란30구,4800,8809183797804
36,해태)소담고기만두405g*2,7980,8801019514906
37,참이슬(F)640ml,2400,8801048953301
38,필라이트후레쉬피쳐,2500,8801119241719
39,동원)리챔200g*3,6980,8801047858959
40,사세)치킨바베큐윙스틱,10200,8809146313461
41,동원)라이트+마일드참치3입,4200,8801047852230
42,드림팜)착한특란10구,2600,8809183797774
43,오)꼬북칩콘스프M,1000,8801117787806
44,"코리원)모짜렐라치즈100%,냉장",18300,8809229426026
45,석화,7774,206502
46,코)몬스터울트라,1980,4897036691120
47,"김치(중국산,10K,짠지식품)",8900,8809351250186
48,펩시콜라(업소)355*24,14500,2100000420643
49,관급재사용봉투20L,740,400091157001
50,달럽생크림1000ml,3900,8808307291198
51,위앤)까망베르,3900,8717953128218
52,동서)필라델피아크림갈릭,4150,9300650432987
53,방울토마토,3400,200574
54,허니브레드용냉동6쪽식빵,2850,8801068066319
55,매)엣지 저지방1%,2800,8801121772898
56,"국산양파(15kg/특/망,박스/국산)",13900,2100000629992
57,청정원)쇠고기진국다시2kg,10500,8801052742281
58,한양)압축쫄단무지1kg,5500,8804443200438
59,취청오이(3개/특/봉/국산),2980,2100000626625
60,바다원)김가루,12500,8809468333734
61,한양)락교,18000,8804443500217
62,해찬들)알찬고추장14kg,33000,8801007052335
63,해피퐁,4500,8809371050889
64,"PC 밧드2-1/4""",2500,8809190920165
65,"PC 밧드4-1/2""",5600,8809190920103
66,"노지시금치(4kg,box)",6900,201058
67,단얼갈이배추(특/단/국산),2980,2100000625451
68,꽈리고추(4kg/특/박스/국산),29800,2100000632305
69,"대파(5입,5kg/특/봉/국산)",10800,2100000579761
70,"수입깐채도라지(중국산,1kg)",4980,2100000434770
71,"수입삶은고사리(수입,1kg,녹원상사)",3200,2100000434633
72,신미)햇살콩두부3kg,3650,8805211005323
73,"봉지새송이버섯(1입,400g/특/봉/국산)",1280,2100000629763
74,태일)냉동굴,5800,8809385510140
75,만가닥버섯(다듬송이/300g/봉/국산,1480,8809522060057
76,앞다리살덩어리,27186,207012
77,두레)청국장1kg,3300,8809092973313
78,누드케찹병 특,1600,8809021730123
79,인큐애호박(1개/특/봉/국산),1790,2100000626748
80,빙)바나나우유멀티4입,4650,8801104220453
81,"남양)든든한끼,호도",2500,8801069410869
82,대파(1입/특/봉/국산),2280,2100000579792
83,남부)불고기맛후랑크소시지,650,8803556818868
84,달래(특/1봉/국산),2680,2100000626076
85,앞다리살 찌개용,5821,207106
86,크)찹쌀설병(대),2980,8801111922722
87,크)찹쌀선과(대),2980,8801111922746
88,돼지 앞다리살,9976,207101
89,목살 덩어리,15919,207979
90,돼지 생갈비,10723,207190
91,하리보해피콜라200g,2890,8691216096394
92,CJ)그릴비엔나,6590,8801007185996
93,감자(특/봉/국산),1980,2100000626885
94,오뚜기)옛날국수중면1.5kg,3480,8801045492506
